I1	freq	reliability
0.000000	0.000000	0.009739
0.000000	0.100000	0.009535
0.000000	0.200000	0.009568
0.000000	0.300000	0.009286
0.000000	0.400000	0.010207
0.000000	0.500000	0.011245
0.000000	0.600000	0.011152
0.000000	0.700000	0.010667
0.000000	0.800000	0.008967
0.000000	0.900000	0.009880
0.000000	1.000000	0.009722
0.000000	1.100000	0.009398
0.000000	1.200000	0.010634
0.000000	1.300000	0.009935
0.000000	1.400000	0.008838
0.000000	1.500000	0.009499
0.000000	1.600000	0.009699
0.000000	1.700000	0.008881
0.000000	1.800000	0.010818
0.000000	1.900000	0.011820
0.000000	2.000000	0.010035
0.000000	2.100000	0.010138
0.000000	2.200000	0.010030
0.000000	2.300000	0.010116
0.000000	2.400000	0.009225
0.000000	2.500000	0.010486
0.000000	2.600000	0.009739
0.000000	2.700000	0.010313
0.000000	2.799999	0.009431
0.000000	2.899999	0.009650
0.000000	2.999999	0.009954
0.000000	3.099999	0.009807
0.000000	3.199999	0.009708
0.000000	3.299999	0.009982
0.000000	3.399999	0.010704
0.000000	3.499999	0.009059
0.000000	3.599999	0.009518
0.000000	3.699999	0.009308
0.000000	3.799999	0.011344
0.000000	3.899998	0.009349
0.000000	3.999998	0.009340
0.000000	4.099998	0.010954
0.000000	4.199998	0.010274
0.000000	4.299998	0.009508
0.000000	4.399998	0.009507
0.000000	4.499998	0.009170
0.000000	4.599998	0.009539
0.000000	4.699998	0.010580
0.000000	4.799998	0.009285
0.000000	4.899998	0.010090
0.000000	4.999998	0.009500
0.000000	5.099998	0.010189
0.000000	5.199997	0.009579
0.000000	5.299997	0.008963
0.000000	5.399997	0.009418
0.000000	5.499997	0.011483
0.000000	5.599997	0.010788
0.000000	5.699997	0.009470
0.000000	5.799997	0.009515
0.000000	5.899997	0.009368
0.000000	5.999997	0.010220
0.000000	6.099997	0.010142
0.000000	6.199996	0.010383
0.000000	6.299996	0.009506
0.000000	6.399996	0.008912
0.000000	6.499996	0.009019
0.000000	6.599996	0.010333
0.000000	6.699996	0.009436
0.000000	6.799996	0.009507
0.000000	6.899996	0.009939
0.000000	6.999996	0.009591
0.000000	7.099996	0.009507
0.000000	7.199996	0.010304
0.000000	7.299995	0.010169
0.000000	7.399995	0.009320
0.000000	7.499995	0.009914
0.000000	7.599995	0.010346
0.000000	7.699995	0.012212
0.000000	7.799995	0.009750
0.000000	7.899995	0.008887
0.000000	7.999995	0.010620
0.000000	8.099995	0.010329
0.000000	8.199995	0.009337
0.000000	8.299995	0.010005
0.000000	8.399996	0.009275
0.000000	8.499996	0.009021
0.000000	8.599997	0.009332
0.000000	8.699997	0.009569
0.000000	8.799997	0.009223
0.000000	8.899998	0.009731
0.000000	8.999998	0.009542
0.000000	9.099998	0.009618
0.000000	9.199999	0.010703
0.000000	9.299999	0.010686
0.000000	9.400000	0.009264
0.000000	9.500000	0.009341
0.000000	9.600000	0.009883
0.000000	9.700001	0.009705
0.000000	9.800001	0.010199
0.000000	9.900002	0.009692
0.000000	10.000002	0.009950
0.000000	10.100002	0.010283
0.000000	10.200003	0.009490
0.000000	10.300003	0.010002
0.000000	10.400003	0.010667
0.000000	10.500004	0.009493
0.000000	10.600004	0.009924
0.000000	10.700005	0.009375
0.000000	10.800005	0.009108
0.000000	10.900005	0.010956
0.000000	11.000006	0.009418
0.000000	11.100006	0.010653
0.000000	11.200006	0.009602
0.000000	11.300007	0.009993
0.000000	11.400007	0.009138
0.000000	11.500008	0.009722
0.000000	11.600008	0.010113
0.000000	11.700008	0.009843
0.000000	11.800009	0.009193
0.000000	11.900009	0.010920
0.000000	12.000010	0.010156
0.000000	12.100010	0.010254
0.000000	12.200010	0.010563
0.000000	12.300011	0.010485
0.000000	12.400011	0.009964
0.000000	12.500011	0.010039
0.000000	12.600012	0.009965
0.000000	12.700012	0.009967
0.000000	12.800013	0.010583
0.000000	12.900013	0.010348
0.000000	13.000013	0.010035
0.000000	13.100014	0.009136
0.000000	13.200014	0.009920
0.000000	13.300014	0.008987
0.000000	13.400015	0.010948
0.000000	13.500015	0.009598
0.000000	13.600016	0.010181
0.000000	13.700016	0.009408
0.000000	13.800016	0.009684
0.000000	13.900017	0.009897
0.000000	14.000017	0.010074
0.000000	14.100018	0.010598
0.000000	14.200018	0.009059
0.000000	14.300018	0.009440
0.000000	14.400019	0.010088
0.000000	14.500019	0.009281
0.000000	14.600019	0.009856
0.000000	14.700020	0.009314
0.000000	14.800020	0.010413
0.000000	14.900021	0.009464
0.000000	15.000021	0.009991
0.000000	15.100021	0.010910
0.000000	15.200022	0.009801
0.000000	15.300022	0.009943
0.000000	15.400023	0.009703
0.000000	15.500023	0.009851
0.000000	15.600023	0.009085
0.000000	15.700024	0.009585
0.000000	15.800024	0.008708
0.000000	15.900024	0.010033
0.000000	16.000025	0.009857
0.000000	16.100025	0.010163
0.000000	16.200026	0.009868
0.000000	16.300026	0.009314
0.000000	16.400026	0.009827
0.000000	16.500027	0.010057
0.000000	16.600027	0.011595
0.000000	16.700027	0.011318
0.000000	16.800028	0.011444
0.000000	16.900028	0.010261
0.000000	17.000029	0.009085
0.000000	17.100029	0.009281
0.000000	17.200029	0.008673
0.000000	17.300030	0.010952
0.000000	17.400030	0.009770
0.000000	17.500031	0.009801
0.000000	17.600031	0.010648
0.000000	17.700031	0.009537
0.000000	17.800032	0.009201
0.000000	17.900032	0.009941
0.000000	18.000032	0.010380
0.000000	18.100033	0.009504
0.000000	18.200033	0.010345
0.000000	18.300034	0.010270
0.000000	18.400034	0.009641
0.000000	18.500034	0.009911
0.000000	18.600035	0.008993
0.000000	18.700035	0.009419
0.000000	18.800035	0.010663
0.000000	18.900036	0.009415
0.000000	19.000036	0.009583
0.000000	19.100037	0.009450
0.000000	19.200037	0.011980
0.000000	19.300037	0.009980
0.000000	19.400038	0.009463
0.000000	19.500038	0.009774
0.000000	19.600039	0.009896
0.000000	19.700039	0.010351
0.000000	19.800039	0.009696
0.000000	19.900040	0.009439
0.000000	20.000040	0.010759
0.000000	20.100040	0.009451
0.000000	20.200041	0.009899
0.000000	20.300041	0.009886
0.000000	20.400042	0.009735
0.000000	20.500042	0.010915
0.000000	20.600042	0.011108
0.000000	20.700043	0.009702
0.000000	20.800043	0.010188
0.000000	20.900043	0.008866
0.000000	21.000044	0.010483
0.000000	21.100044	0.010797
0.000000	21.200045	0.009907
0.000000	21.300045	0.009349
0.000000	21.400045	0.009449
0.000000	21.500046	0.009709
0.000000	21.600046	0.009573
0.000000	21.700047	0.009750
0.000000	21.800047	0.009829
0.000000	21.900047	0.009331
0.000000	22.000048	0.009697
0.000000	22.100048	0.009421
0.000000	22.200048	0.009852
0.000000	22.300049	0.010449
0.000000	22.400049	0.009336
0.000000	22.500050	0.010242
0.000000	22.600050	0.009529
0.000000	22.700050	0.010766
0.000000	22.800051	0.010874
0.000000	22.900051	0.010495
0.000000	23.000051	0.009341
0.000000	23.100052	0.009268
0.000000	23.200052	0.009916
0.000000	23.300053	0.009270
0.000000	23.400053	0.010116
0.000000	23.500053	0.010710
0.000000	23.600054	0.010756
0.000000	23.700054	0.010977
0.000000	23.800055	0.010933
0.000000	23.900055	0.010346
0.000000	24.000055	0.010491
0.000000	24.100056	0.009019
0.000000	24.200056	0.009816
0.000000	24.300056	0.009968
0.000000	24.400057	0.010168
0.000000	24.500057	0.009021
0.000000	24.600058	0.009181
0.000000	24.700058	0.009082
0.000000	24.800058	0.009351
0.000000	24.900059	0.011872
0.000000	25.000059	0.008864
0.000000	25.100060	0.009395
0.000000	25.200060	0.009900
0.000000	25.300060	0.009545
0.000000	25.400061	0.009929
0.000000	25.500061	0.009913
0.000000	25.600061	0.009461
0.000000	25.700062	0.009229
0.000000	25.800062	0.010287
0.000000	25.900063	0.009731
0.000000	26.000063	0.010136
0.000000	26.100063	0.009747
0.000000	26.200064	0.008719
0.000000	26.300064	0.008833
0.000000	26.400064	0.009318
0.000000	26.500065	0.010227
0.000000	26.600065	0.009587
0.000000	26.700066	0.010519
0.000000	26.800066	0.009801
